date,time,1,2,3,4,5,6,7,8,9,10,11,label
2020-12-12,15:52,0,0,0,0,2,0,0,0,28,0,0,0
2020-12-12,15:53,0,0,0,0,0,0,0,0,5,0,0,0
2020-12-12,15:55,0,0,0,0,0,0,0,5,0,0,0,0
2020-12-12,15:56,0,0,0,0,0,0,0,15,0,0,0,0
2020-12-12,15:58,0,0,0,0,19,0,0,0,0,0,0,0
2020-12-12,15:59,0,0,9,0,0,0,0,0,0,0,1,0
2020-12-12,16:00,0,0,0,0,10,0,0,0,0,0,0,0
2020-12-12,16:34,0,0,0,0,0,0,0,5,0,0,0,0
2020-12-12,16:37,0,0,3,0,0,0,0,0,0,0,0,0
2020-12-12,16:38,0,0,10,0,0,0,0,0,0,0,0,0
2020-12-12,16:39,0,0,0,0,0,0,0,0,14,0,0,0
2020-12-12,16:40,0,0,0,0,0,0,0,8,0,0,0,0
2020-12-12,16:42,0,3,0,0,0,0,0,1,0,0,0,0
2020-12-12,16:43,0,0,0,0,0,0,0,3,0,0,0,0
2020-12-12,16:49,0,0,9,0,0,0,0,1,0,0,0,0
2020-12-12,16:50,0,0,0,0,0,0,0,8,0,0,0,0
2020-12-12,16:51,0,0,9,0,14,0,0,0,3,0,0,0
2020-12-12,16:52,0,0,0,0,0,0,0,0,9,0,0,0
2020-12-12,16:54,0,0,0,0,7,0,0,0,4,0,0,0
2020-12-12,16:55,0,0,0,0,14,0,0,0,16,0,0,0
2020-12-12,16:56,0,0,1,0,0,0,0,0,3,0,0,0
2020-12-12,17:03,0,0,0,0,0,0,0,0,9,0,0,0
2020-12-12,17:04,0,7,0,0,14,0,0,0,2,0,0,0
2020-12-12,17:05,0,0,6,0,7,0,0,0,0,2,0,0
2020-12-12,17:06,0,0,0,0,0,0,0,0,18,0,0,0
2020-12-12,17:07,0,0,7,0,0,0,0,0,9,0,0,0
2020-12-12,17:08,0,0,0,0,0,0,0,0,15,0,0,0
2020-12-12,17:09,0,0,0,0,11,0,0,0,4,0,0,0
2020-12-12,17:10,0,0,0,0,2,0,0,11,0,8,0,0
2020-12-12,17:11,0,0,0,0,0,0,0,0,0,3,0,0
2020-12-12,17:12,0,0,0,0,0,0,0,0,1,0,0,0
2020-12-12,17:13,0,0,0,0,0,0,0,0,4,0,0,0
2020-12-12,17:18,0,2,0,0,0,0,0,0,0,0,0,0
2020-12-12,17:19,0,0,0,0,1,0,0,8,0,0,0,0
2020-12-12,17:22,0,0,0,0,0,0,0,0,0,0,1,0
2020-12-12,17:27,0,2,0,0,0,0,0,0,0,0,1,0
2020-12-12,17:54,0,0,8,0,0,0,0,0,0,0,0,0
